subject,centroid_delta,centroid_theta,centroid_alpha,centroid_beta,centroid_gamma,freq_ratio_alpha_theta,PCI,POI,freq_ratio_theta/delta,freq_ratio_alpha/theta,freq_ratio_beta/alpha,freq_ratio_gamma/beta,freq_error_theta/delta,freq_error_alpha/theta,freq_error_beta/alpha,freq_error_gamma/beta,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,power_ratio_theta/delta,power_ratio_alpha/theta,power_ratio_beta/alpha,power_ratio_gamma/beta
alpha_s01,2.0061379011346583,5.6164852195587835,10.727943802606127,19.87248372097632,35.5458367735234,1.910081373533622,-1.1780109549641002,0.2902745047100657,2.799650620419532,1.910081373533622,1.8524037864691945,1.7886962330734297,0.7302792400973573,0.18049521015826486,0.14484850096226817,0.10547506762237263,154.4735039476182,34.94899890015574,19.18663959833126,24.322077404125984,7.51791440574244,0.2262459127748336,0.5489896764466624,1.267656969292391,0.30909836692103876
alpha_s02,2.079276913735504,5.807685509281576,10.480505174666058,20.56595729361702,35.818759981930256,1.8045924074085273,0.046343168435905656,0.2826799083115251,2.7931274910602637,1.8045924074085273,1.962305914731092,1.7416529398827056,0.7262477244401929,0.11529944365285966,0.21277175166616574,0.0764007134868821,36.656665721938076,7.887083452568202,39.798784329553676,12.469030767511853,5.472671181509941,0.21516096178512997,5.0460711578491475,0.31330179998117763,0.438901088909735
alpha_s03,2.1284833047137166,5.759599065926929,10.115274811878372,19.482163759326976,35.86615508077384,1.756246345638723,0.5673667812310261,0.27148108882562655,2.705963938346043,1.756246345638723,1.9260142825234035,1.8409739043284201,0.6723776862809503,0.08541993425599727,0.1903422894539122,0.13778444531164638,34.54308867320698,8.258720979853434,15.597685396056216,9.129115655767695,3.8106120653046944,0.23908461278563178,1.8886320816632098,0.5852865616892067,0.41741305609346546
alpha_s04,2.1476378128907614,5.73875043759664,10.50080559163136,20.141747165834865,35.70693504260483,1.8298069772884296,-0.21858167174694756,0.26586122451773997,2.672122088347929,1.8298069772884296,1.918114471320836,1.772782408031225,0.6514622727392951,0.13088290485082912,0.18545993762586782,0.09563978285496766,18.734658968188317,5.870408873753141,5.368513608799962,8.083725606097369,3.458753543642387,0.31334484837547183,0.9145042064791814,1.5057660639709818,0.42786627258024795
alpha_s05,2.089987600089634,6.31364212519788,9.461047231366587,18.82385396962127,35.43380378572224,1.4985086331718653,1.4340578635378893,0.3334799231802526,3.020899322525696,1.4985086331718653,1.9896163193450505,1.882388369719974,0.8670184579699837,0.07387073223608025,0.22965050996462455,0.16337999255032212,20.250069278266384,7.29435171483795,22.861310637024026,10.295787607235182,1.2198283148443256,0.3602136671535586,3.1341113687348305,0.4503585892648295,0.11847838760651132
alpha_s06,2.0507908803665496,5.879077672996454,10.43322892358332,20.33008862158652,36.01402832796532,1.7746370270807634,0.3639981298040071,0.29191175494649896,2.8667367937318176,1.7746370270807634,1.9485902945762352,1.7714644042291863,0.7717407753807946,0.0967860004638007,0.2042950322334198,0.09482521170798094,25.409239508254263,6.018660899731171,5.978357403340438,12.011557991835437,5.088088942466812,0.2368689900292369,0.9933035774797458,2.009173621022376,0.42359941532358386
alpha_s08,2.0950235007667657,5.638811459005354,10.443308640052052,20.268726403061237,35.58571749163641,1.8520407564565347,-0.4584131825993352,0.2731649935918501,2.6915265900079803,1.8520407564565347,1.9408338010165533,1.7556957839374558,0.6634549143003305,0.14462413607550118,0.19950125557986892,0.08507966841169974,226.69907909668214,35.85952667419526,43.30098800466493,28.178044461134355,14.169645148483811,0.15818117487324226,1.2075169981489073,0.6507483029740259,0.5028611963483781
alpha_s09,2.0595125560487793,5.638353536394453,10.418591904451459,21.391557040012298,35.89009181210204,1.8478074915312628,-0.41194783082792746,0.28496978448091675,2.7377126300272527,1.8478074915312628,2.0532099957646404,1.677769025647392,0.691999456838884,0.1420078344682197,0.2689535634627058,0.03691828315385754,41.863203730928966,8.797207352014174,7.505485878795119,22.21511817532372,14.22127303455575,0.2101417609736043,0.8531668719933823,2.959850772364652,0.6401619348733677
alpha_s10,2.099774177892573,5.652047688750713,10.610392521117404,21.026565121472224,36.06606925934596,1.8772652152661946,-0.7476946243822207,0.2771615697425259,2.691740734912437,1.8772652152661946,1.981695312366999,1.715262053073779,0.6635872631298064,0.16021370896817347,0.22475505842691265,0.060090248445211214,35.95896715341796,8.67244942133815,16.92691732738544,25.269090688734092,14.863197742723804,0.2411762658348161,1.9518035222825931,1.4928347672527564,0.5881967786577447
alpha_s11,2.024589573502304,5.683485182161839,10.24127152572955,22.220831229279693,36.57661133427602,1.801935115072132,0.07419642216002159,0.3017259934194528,2.807228317554788,1.801935115072132,2.1697336286274047,1.6460505440534632,0.7349625144835428,0.11365714667087215,0.3409691290667291,0.01731518345666706,29.2916200122492,5.43616058793548,13.026268636891915,23.41139626538177,18.552884016213078,0.18558757029014375,2.396225870479476,1.7972450068377954,0.7924723415000696
alpha_s12,2.132941220534882,5.908651650619762,10.251492551445935,19.395420756224564,35.31303793220167,1.7349969430624073,0.8178841062542889,0.26972559809222596,2.7701896300442996,1.7349969430624073,1.8919606739107382,1.8206894491251844,0.7120713467026688,0.07228708122279962,0.16929600189104993,0.12524796255238546,18.253769325560402,5.921296990856762,33.07188017881114,9.522481228873865,1.4721017270915915,0.32438763113793073,5.585242596322789,0.2879328655458432,0.15459224247435804
alpha_s13,2.2197188364967055,5.8091674915974245,10.187164477167741,20.9984500837373,35.931633069332385,1.753635868117557,0.5970874169825737,0.25818298190347677,2.617073566292659,1.753635868117557,2.061265441507364,1.7111564389773894,0.617440415077641,0.0838065704209994,0.27393210272639323,0.05755283938887354,15.829462250293698,7.473773145353791,8.107069935007868,11.541988157363383,5.421072228775103,0.472143211637851,1.0847358860561318,1.4236941644629073,0.4696827058617843
alpha_s14,2.0772376145711897,6.025716144875968,9.765068854280019,19.409066267232483,35.54422390675493,1.6205656920271374,5.009789152291024,0.28865020823968046,2.9008314227546252,1.6205656920271374,1.9876015783263536,1.8313206528004267,0.792812414951358,0.0015646787056504063,0.22840533153650294,0.1318184077652106,18.833826469748214,6.804534860690497,14.068106676022287,6.890643982046528,1.7107293464821145,0.3612932757780403,2.0674604457232086,0.4898060656442816,0.2482684275866515
alpha_s15,2.1282992446620845,5.851455732843412,10.391592911311315,19.91346103865197,35.59629811944791,1.7758987482353734,0.35035925234973264,0.27146755253372745,2.7493576138408407,1.7758987482353734,1.9163049600389985,1.7875495399998824,0.6991964526343456,0.09756578702169849,0.18434159815063136,0.10476637232823445,26.809443814122602,7.986576996282819,20.42979901490717,8.851896376050986,2.6023926333878054,0.29790162942789855,2.558016910675973,0.4332835760935266,0.2939926681054062
alpha_s16,2.0250011086116753,5.70395060756396,10.669230424577915,20.676020116688623,35.71708585527683,1.870498389384638,-0.6675769331416737,0.2905535367987453,2.8167641900574285,1.870498389384638,1.937911104540287,1.7274642631271107,0.7408560078027417,0.1560315805772901,0.1976949298186811,0.0676316289962684,42.12657664069209,7.28821132597055,9.113130973171938,10.607612771782172,5.986164155243773,0.17300744345151736,1.2503933496959034,1.1639921343180324,0.5643271755892014
alpha_s17,2.051008854016244,6.192853367820128,10.413972227648198,18.72916513957059,35.536515481095044,1.681611304049638,1.6110162208422691,0.2973898821829769,3.0194181539945126,1.681611304049638,1.7984650554229702,1.8973891904030593,0.8661030454746175,0.039292941800758464,0.11151253186463442,0.17265100959189722,31.62593452558502,11.903098900527805,71.86071840821167,9.726922757131948,1.861980327160832,0.3763714520719802,6.037143689113196,0.1353579949184092,0.19142542545591779
alpha_s18,2.1346446031246766,5.99140670715674,9.989065465586824,20.683066961260796,35.98038549688973,1.6672320798477722,1.9115904855914194,0.2799724110827924,2.8067467054640214,1.6672320798477722,2.0705707688587798,1.739605908750413,0.7346648618420468,0.030406092511876228,0.2796831113061895,0.07513557867105704,47.83151995278958,16.68998440987225,19.30006583408218,11.501993609075514,4.782139827680521,0.34893276287990665,1.1563860912096506,0.5959561852252353,0.4157661697801005
alpha_s19,2.087833613357718,5.3825779057698755,10.556154592595265,20.02395142142864,35.62150611849608,1.9611707953691768,-2.1789565607421713,0.26930003320040097,2.578068420458778,1.9611707953691768,1.8968982734938982,1.7789448929832954,0.5933339092154128,0.2120702093191925,0.17234760625637421,0.0994484080106243,101.97427322932533,20.425472666050272,13.13997678534091,10.177637484592358,3.4267470000032767,0.2003002523991159,0.6433132295235067,0.7745552104739357,0.3366937567967943
alpha_s20,2.1262905667878247,5.730057078823656,10.221644509353004,20.91935464027008,35.32482103197304,1.7838643435383443,0.2649409427289903,0.26912019834678763,2.694860791053605,1.7838643435383443,2.046574269055088,1.6886190630361138,0.6655155638719156,0.10248879565971283,0.26485245881602054,0.04362397503950149,25.50238387553114,7.403147219930334,5.459671737505725,8.85014617213645,3.364698374409712,0.2902923607480263,0.7374798278774608,1.621003349219614,0.38018562732930145
alpha_subj_01,2.0061379011346583,5.6164852195587835,10.727943802606127,19.87248372097632,35.5458367735234,1.910081373533622,-1.1780109549641002,0.2902745047100657,2.799650620419532,1.910081373533622,1.8524037864691945,1.7886962330734297,0.7302792400973573,0.18049521015826486,0.14484850096226817,0.10547506762237263,154.4735039476182,34.94899890015574,19.18663959833126,24.322077404125984,7.51791440574244,0.2262459127748336,0.5489896764466624,1.267656969292391,0.30909836692103876
alpha_subj_02,2.079276913735504,5.807685509281576,10.480505174666058,20.56595729361702,35.818759981930256,1.8045924074085273,0.046343168435905656,0.2826799083115251,2.7931274910602637,1.8045924074085273,1.962305914731092,1.7416529398827056,0.7262477244401929,0.11529944365285966,0.21277175166616574,0.0764007134868821,36.656665721938076,7.887083452568202,39.798784329553676,12.469030767511853,5.472671181509941,0.21516096178512997,5.0460711578491475,0.31330179998117763,0.438901088909735
alpha_subj_03,2.1284833047137166,5.759599065926929,10.115274811878372,19.482163759326976,35.86615508077384,1.756246345638723,0.5673667812310261,0.27148108882562655,2.705963938346043,1.756246345638723,1.9260142825234035,1.8409739043284201,0.6723776862809503,0.08541993425599727,0.1903422894539122,0.13778444531164638,34.54308867320698,8.258720979853434,15.597685396056216,9.129115655767695,3.8106120653046944,0.23908461278563178,1.8886320816632098,0.5852865616892067,0.41741305609346546
alpha_subj_04,2.1476378128907614,5.73875043759664,10.50080559163136,20.141747165834865,35.70693504260483,1.8298069772884296,-0.21858167174694756,0.26586122451773997,2.672122088347929,1.8298069772884296,1.918114471320836,1.772782408031225,0.6514622727392951,0.13088290485082912,0.18545993762586782,0.09563978285496766,18.734658968188317,5.870408873753141,5.368513608799962,8.083725606097369,3.458753543642387,0.31334484837547183,0.9145042064791814,1.5057660639709818,0.42786627258024795
alpha_subj_05,2.089987600089634,6.31364212519788,9.461047231366587,18.82385396962127,35.43380378572224,1.4985086331718653,1.4340578635378893,0.3334799231802526,3.020899322525696,1.4985086331718653,1.9896163193450505,1.882388369719974,0.8670184579699837,0.07387073223608025,0.22965050996462455,0.16337999255032212,20.250069278266384,7.29435171483795,22.861310637024026,10.295787607235182,1.2198283148443256,0.3602136671535586,3.1341113687348305,0.4503585892648295,0.11847838760651132
alpha_subj_06,2.0507908803665496,5.879077672996454,10.43322892358332,20.33008862158652,36.01402832796532,1.7746370270807634,0.3639981298040071,0.29191175494649896,2.8667367937318176,1.7746370270807634,1.9485902945762352,1.7714644042291863,0.7717407753807946,0.0967860004638007,0.2042950322334198,0.09482521170798094,25.409239508254263,6.018660899731171,5.978357403340438,12.011557991835437,5.088088942466812,0.2368689900292369,0.9933035774797458,2.009173621022376,0.42359941532358386
alpha_subj_09,2.0595125560487793,5.638353536394453,10.418591904451459,21.391557040012298,35.89009181210204,1.8478074915312628,-0.41194783082792746,0.28496978448091675,2.7377126300272527,1.8478074915312628,2.0532099957646404,1.677769025647392,0.691999456838884,0.1420078344682197,0.2689535634627058,0.03691828315385754,41.863203730928966,8.797207352014174,7.505485878795119,22.21511817532372,14.22127303455575,0.2101417609736043,0.8531668719933823,2.959850772364652,0.6401619348733677
alpha_subj_10,2.099774177892573,5.652047688750713,10.610392521117404,21.026565121472224,36.06606925934596,1.8772652152661946,-0.7476946243822207,0.2771615697425259,2.691740734912437,1.8772652152661946,1.981695312366999,1.715262053073779,0.6635872631298064,0.16021370896817347,0.22475505842691265,0.060090248445211214,35.95896715341796,8.67244942133815,16.92691732738544,25.269090688734092,14.863197742723804,0.2411762658348161,1.9518035222825931,1.4928347672527564,0.5881967786577447
alpha_subj_11,2.024589573502304,5.683485182161839,10.24127152572955,22.220831229279693,36.57661133427602,1.801935115072132,0.07419642216002159,0.3017259934194528,2.807228317554788,1.801935115072132,2.1697336286274047,1.6460505440534632,0.7349625144835428,0.11365714667087215,0.3409691290667291,0.01731518345666706,29.2916200122492,5.43616058793548,13.026268636891915,23.41139626538177,18.552884016213078,0.18558757029014375,2.396225870479476,1.7972450068377954,0.7924723415000696
alpha_subj_12,2.132941220534882,5.908651650619762,10.251492551445935,19.395420756224564,35.31303793220167,1.7349969430624073,0.8178841062542889,0.26972559809222596,2.7701896300442996,1.7349969430624073,1.8919606739107382,1.8206894491251844,0.7120713467026688,0.07228708122279962,0.16929600189104993,0.12524796255238546,18.253769325560402,5.921296990856762,33.07188017881114,9.522481228873865,1.4721017270915915,0.32438763113793073,5.585242596322789,0.2879328655458432,0.15459224247435804
alpha_subj_13,2.2197188364967055,5.8091674915974245,10.187164477167741,20.9984500837373,35.931633069332385,1.753635868117557,0.5970874169825737,0.25818298190347677,2.617073566292659,1.753635868117557,2.061265441507364,1.7111564389773894,0.617440415077641,0.0838065704209994,0.27393210272639323,0.05755283938887354,15.829462250293698,7.473773145353791,8.107069935007868,11.541988157363383,5.421072228775103,0.472143211637851,1.0847358860561318,1.4236941644629073,0.4696827058617843
alpha_subj_14,2.0772376145711897,6.025716144875968,9.765068854280019,19.409066267232483,35.54422390675493,1.6205656920271374,5.009789152291024,0.28865020823968046,2.9008314227546252,1.6205656920271374,1.9876015783263536,1.8313206528004267,0.792812414951358,0.0015646787056504063,0.22840533153650294,0.1318184077652106,18.833826469748214,6.804534860690497,14.068106676022287,6.890643982046528,1.7107293464821145,0.3612932757780403,2.0674604457232086,0.4898060656442816,0.2482684275866515
alpha_subj_15,2.1282992446620845,5.851455732843412,10.391592911311315,19.91346103865197,35.59629811944791,1.7758987482353734,0.35035925234973264,0.27146755253372745,2.7493576138408407,1.7758987482353734,1.9163049600389985,1.7875495399998824,0.6991964526343456,0.09756578702169849,0.18434159815063136,0.10476637232823445,26.809443814122602,7.986576996282819,20.42979901490717,8.851896376050986,2.6023926333878054,0.29790162942789855,2.558016910675973,0.4332835760935266,0.2939926681054062
alpha_subj_16,2.0250011086116753,5.70395060756396,10.669230424577915,20.676020116688623,35.71708585527683,1.870498389384638,-0.6675769331416737,0.2905535367987453,2.8167641900574285,1.870498389384638,1.937911104540287,1.7274642631271107,0.7408560078027417,0.1560315805772901,0.1976949298186811,0.0676316289962684,42.12657664069209,7.28821132597055,9.113130973171938,10.607612771782172,5.986164155243773,0.17300744345151736,1.2503933496959034,1.1639921343180324,0.5643271755892014
alpha_subj_17,2.051008854016244,6.192853367820128,10.413972227648198,18.72916513957059,35.536515481095044,1.681611304049638,1.6110162208422691,0.2973898821829769,3.0194181539945126,1.681611304049638,1.7984650554229702,1.8973891904030593,0.8661030454746175,0.039292941800758464,0.11151253186463442,0.17265100959189722,31.62593452558502,11.903098900527805,71.86071840821167,9.726922757131948,1.861980327160832,0.3763714520719802,6.037143689113196,0.1353579949184092,0.19142542545591779
alpha_subj_18,2.1346446031246766,5.99140670715674,9.989065465586824,20.683066961260796,35.98038549688973,1.6672320798477722,1.9115904855914194,0.2799724110827924,2.8067467054640214,1.6672320798477722,2.0705707688587798,1.739605908750413,0.7346648618420468,0.030406092511876228,0.2796831113061895,0.07513557867105704,47.83151995278958,16.68998440987225,19.30006583408218,11.501993609075514,4.782139827680521,0.34893276287990665,1.1563860912096506,0.5959561852252353,0.4157661697801005
