subject,ratio_med,ratio_think,ratio_diff,pci_med,pci_think,pci_diff,theta_med,theta_think,alpha_med,alpha_think
sub-001,1.4615750959937654,1.363768900377586,0.09780619561617954,1.2358547237809006,0.9171844839233982,0.3186702398575023,6.377330281979166,6.6545374816539224,9.320947119067647,9.0752512638766
sub-002,1.3274377899813077,1.6399173753032636,-0.31247958532195597,0.8391599425538385,2.800605771815346,-1.9614458292615073,6.895364091248985,6.108052470234528,9.153166870404021,10.016701375201622
sub-003,1.4781512648502335,1.3081727039216111,0.1699785609286224,1.3165733817156149,0.8032116234498072,0.5133617582658077,6.139525573400894,6.691022191454435,9.075147491902886,8.753012592194452
sub-004,1.6135322255198512,1.644580580402238,-0.031048354882386775,4.452579348904416,2.594397189101735,1.8581821598026806,6.063344151698848,6.210866669475351,9.783401183183416,10.214270712086687
sub-005,1.906379566182399,1.9790993658995455,-0.07271979971714648,-1.1249110129445348,-2.8492795439667646,1.7243685310222299,5.792436029821061,5.525696888000723,11.042581685669571,10.935903207195322
sub-006,1.7050467884898017,1.7020482841204414,0.002998504369360333,1.2207615068569166,1.2659444781873523,-0.045182971330435695,6.178522734037258,6.181866456773296,10.534670345281455,10.5218351954127
sub-007,1.7507613269335032,1.6597075888697719,0.0910537380637313,0.6301140282991409,2.099937441864829,-1.469823413565688,5.863645487446912,6.126298239718169,10.265843754270204,10.16786368013977
sub-008,1.5477956050942483,1.6679782786820094,-0.12018267358776114,1.862239342123555,1.894292208547264,-0.03205286642370897,6.527664680843106,6.216243140801692,10.103490704537908,10.368558533863254
sub-009,1.5687754048741653,1.6313563285594999,-0.06258092368533452,2.1695454134460816,3.320388202625083,-1.1508427891790012,6.02905966327653,5.902882122787957,9.458240514267137,9.629704107750868
sub-010,1.548435216116284,1.6182483025503505,-0.06981308643406647,1.8699719165701936,7.485084138514966,-5.615112221944773,5.949725387240168,5.928351805063314,9.21276431582377,9.593545245465014
sub-011,1.4413625958459952,1.6100467455787586,-0.16868414973276336,1.1512091422787756,3.888181212389974,-2.7369720701111984,6.368315126256586,5.924074337814586,9.179051221546509,9.538036608165013
sub-012,1.6824391599613127,1.7674413527549828,-0.08500219279367016,1.595475493169442,0.44246587708650953,1.1530096160829324,6.008653009534783,5.881076111218217,10.109193121860715,10.394457117666539
sub-013,1.670033664497036,1.7161787310580152,-0.046145066560979275,1.847753151739793,1.061901353465049,0.7858517982747439,6.157533522340369,5.871132672008546,10.283288272577428,10.07591301892088
sub-014,1.5364265849534364,1.579909666645258,-0.04348308169182147,1.7370447751856468,2.3996173149684346,-0.6625725397827877,5.9639108501016365,5.935677081781363,9.163111180388404,9.37783359959109
sub-015,1.7568231525347424,1.7602238345836911,-0.003400682048948722,0.5608329713228739,0.5225427365283352,0.03829023479453875,5.869029734688438,5.889954476078572,10.310847320815485,10.3676382534064
sub-016,1.9266514089019238,1.6769487616481553,0.24970264725376845,-1.4368790909961884,1.701719070040759,-3.1385981610369473,5.196506710721803,5.772620645523129,10.011856975580463,9.680389042974586
sub-017,1.7439260235465988,1.8184365597930259,-0.07451053624642712,0.7100416999218481,-0.09872307348059321,0.8087647734024412,6.4314770490224005,6.0196402853269255,11.216020195632849,10.946333971641403
sub-018,1.576004571473843,1.6845595418308628,-0.10855497035701966,2.311352890138655,1.5563838105839376,0.7549690795547175,6.16221717390111,5.815774831138794,9.711682436482775,9.79701898493463
sub-019,1.290398694173883,1.2926953815709097,-0.0022966873970267088,0.7728021883976919,0.7765949256300628,-0.0037927372323709463,6.996721804632764,6.993366482654288,9.028560680196053,9.040292553759995
sub-020,1.5763867611426923,1.628362658503112,-0.05197589736041963,2.31958606529653,3.5829949857410552,-1.2634089204445251,6.462551298676833,6.340603491065602,10.187480310439673,10.324801957225697
sub-021,1.704149630971016,1.8239560275087359,-0.11980639653771985,1.2341627459193443,-0.15676383724085063,1.390926583160195,6.06902178907352,5.829255155316508,10.342521242204693,10.632305076425917
sub-022,1.727397825325098,1.875043943020534,-0.147646117695436,0.913333222434618,-0.7211526855779545,1.6344859080125724,5.763379520536038,5.365019635325064,9.955649250297157,10.059647571402495
sub-023,1.8032968155457758,1.9147565904119426,-0.11145977486616676,0.05992041214802352,-1.2472868950917808,1.3072073072398043,5.971503419403046,5.614773103287442,10.768393100230224,10.750923803187344
sub-024,1.6223098383369285,1.8893619886641095,-0.267052150327181,4.481091353237917,-0.8970647079818916,5.3781560612198085,5.970596480269312,5.417837339993659,9.686157410680742,10.236255930949088
sub-025,1.4885126656502219,1.4865036868514527,0.0020089787987691565,1.3734772989653887,1.3620055921150858,0.011471706850302965,6.387295946371858,6.566878623037798,9.507570915430831,9.761689284251679
sub-026,1.4593550841058225,1.488568606986266,-0.029213522880443543,1.2258800232716105,1.373799924661526,-0.1479199013899155,6.459405545460567,6.2769868359671275,9.426566323069222,9.343725550486717
sub-027,1.3300511923309335,1.416684544381579,-0.08663335205064548,0.84430055947969,1.0636862027542566,-0.21938564327456667,6.505732914377109,6.229777067370841,8.652957819753873,8.825628886287069
sub-028,1.4740208350076542,1.3931963120349373,0.08082452297271692,1.2953569611824642,0.9928266203841143,0.30253034079834995,6.5244557470002995,6.776173217361192,9.61718370816387,9.440539536137528
sub-029,1.7490145600590292,1.9151611178928165,-0.1661465578337873,0.6503459272802561,-1.2534061385113933,1.9037520657916494,6.019964832440782,5.720351332580866,10.529006142982242,10.955394452845233
sub-030,1.7725231461818844,1.7866359955699074,-0.01411284938802293,0.3869245759917376,0.23545869947774167,0.1514658765139959,6.018419270654464,5.926329228423058,10.667787460662133,10.588193121098671
sub-031,1.5472651097933112,1.6958989795459052,-0.14863386975259396,1.855887382238037,1.3623835099471158,0.4935038722909213,6.194019512852902,5.928313218619199,9.583790281616258,10.053820337884801
sub-032,1.461470148388995,1.4183051686670298,0.04316497972196509,1.2353790776952873,1.0689854187769898,0.1663936589182975,6.364360583750009,6.4530700494490585,9.301323006734195,9.152422604904006
sub-033,1.6019087303726585,1.659101049394649,-0.05719231902199051,3.2062944168124257,2.116379743610215,1.0899146732022107,6.449071171201205,6.3145979486245025,10.330823411941836,10.47655608306821
sub-034,1.5536427470296692,1.6105819545696074,-0.0569392075399382,1.9361420220530945,3.9561664007334563,-2.020024378680362,6.708765107832098,6.454285516498869,10.423024251309055,10.395155782513056
sub-035,1.743344341107571,1.3834349808428112,0.35990936026475984,0.7169418583684937,0.9662860748908334,-0.24934421652233973,5.684483479352988,6.8485821486709755,9.910012105849507,9.47456811364705
